concept_id,label,accion,tipos,y2023,y2024,y2025,n,score,opts,multi,t23,t24,t25
c202,por haber estado en la carcel,comparable,categorica,p68_15,p77_15,p89_15,3,1.0,match,,por haber estado en la cárcel?,P 77 15 por haber estado en la cárcel?,por haber estado en la cárcel?
c205,por estar en situacion de calle,comparable,categorica,p68_2,p77_2,p89_2,3,1.0,match,,por estar en situación de calle?,P 77 2 por estar en situación de calle?,por estar en situación de calle?
c206,por su embarazo,comparable,categorica,p68_3,p77_3,,2,1.0,match,,por su embarazo?,P 77 3 por su embarazo?,
c207,por su edad,comparable,categorica,p68_4,p77_4,p89_4,3,1.0,match,,por su edad?,P 77 4 por su edad?,por su edad?
c208,por su nivel economico,comparable,categorica,p68_5,p77_5,p89_5,3,1.0,match,,por su nivel económico?,P 77 5 por su nivel económico?,por su nivel económico?
c209,por su origen etnico indigena afrodescendiente etc,comparable,categorica,p68_6,p77_6,p89_6,3,1.0,match,,"Por su origen étnico (indígena, afrodescendiente, et","P 77 6 por su origen étnico (indígena, afrodescendie","por su origen étnico (indígena, afrodescendiente, et"
c210,por ser persona con discapacidad,comparable,categorica,p68_7,p77_7,p89_7,3,1.0,match,,por ser persona con discapacidad?,P 77 7 por ser persona con discapacidad?,por ser persona con discapacidad?
c212,por su color de piel,comparable,categorica,p68_9,p77_9,p89_9,3,1.0,match,,por su color de piel?,P 77 9 por su color de piel?,por su color de piel?
c213,en los ultimos 12 meses considera que la cantidad de,comparable,categorica,p69,p78,,2,1.0,match,,"En los últimos 12 meses, ¿considera que la cantidad ","P 78 En los últimos 12 meses, ¿considera que la cant",
c214,mexico deberia admitir a mas personas migrantes al p,comparable,categorica,p70_1,p79_1,p90_1,3,1.0,match,,México debería admitir a más personas migrantes al p,México debería admitir a más personas migrantes al p,México debería admitir a más personas migrantes al p
c216,las personas migrantes deben tener las mismas oportu,comparable,categorica,p70_3,p79_2,p90_2,3,0.82,match,,Las personas migrantes deben tener las mismas oportu,P 79 2 Las personas migrantes deben tener los mismos,Las personas migrantes deben tener los mismos derech
c217,el aumento de personas migrantes en el estado esta r,comparable,categorica,p70_4,p79_3,,2,1.0,match,,El aumento de personas migrantes en el estado está r,El aumento de personas migrantes en el estado está r,
c221,considera que tiene sobrepeso u obesidad,comparable,categorica,p74,p80,,2,1.0,match,,¿Considera que tiene sobrepeso u obesidad?,P 80 ¿Considera que tiene sobrepeso u obesidad?,
c222,durante los ultimos 12 meses tuvo algun problema de ,solo_concepto,categorica,p75,p81,p92,3,0.92,code_partial,,"Durante los últimos 12 meses, ¿Tuvo algún problema d","Durante los últimos 12 meses, ¿Tuvo algún problema d","Durante los últimos 12 meses, ¿Tuvo algún problema d"
c223,tuvo una consulta medica por este problema de salud,comparable,categorica,p76,p82,p93,3,0.83,match,,¿Tuvo una consulta médica por este problema de salud,¿Acudió a una consulta médica por este problema de s,¿Acudió a una consulta médica por este problema de s
c224,por que no consulto no leer respuestas,comparable,categorica,p77,p83,,2,1.0,relabel?,,¿Por qué no consultó? (no leer respuestas),P 83 ¿Por qué no consultó? (no leer respuestas),
c226,si es cronica le estan dando un seguimiento adecuado,comparable,categorica,p79,p85,,2,1.0,match,,Si es crónica ¿Le están dando un seguimiento adecuad,P 85 Si es crónica ¿Le están dando un seguimiento ad,
c229,guarderia,comparable,categorica,p7_3,p7_3,,2,1.0,match,,Guardería,P 7 3 Guardería,
c230,fondo de ahorro para el retiro,comparable,categorica,p7_4,p7_4,p5_4,3,1.0,match,,Fondo de ahorro para el retiro,P 7 4 Fondo de ahorro para el retiro,Fondo de ahorro para el retiro
c231,aguinaldo,comparable,categorica,p7_5,p7_5,p5_5,3,1.0,match,,Aguinaldo,P 7 5 Aguinaldo,Aguinaldo
c232,bonos de despensa,comparable,categorica,p7_6,p7_6,p5_6,3,1.0,match,,Bonos de despensa,P 7 6 Bonos de despensa,Bonos de despensa
c236,en esta ultima consulta,comparable,categorica,p85,p91,p102,3,1.0,match,,En esta última consulta,P 91 En esta última consulta,En esta última consulta
c241,trato y atencion de personal de enfermeria y tecnico,comparable,categorica,p88_2,p94_2,,2,1.0,match,,Trato y atención de personal de enfermería y técnico,P 94 2 Trato y atención de personal de enfermería y ,
c242,atencion y el servicio por parte del personal admini,comparable,categorica,p88_3,p94_3,p105_2,3,1.0,match,,Atención y el servicio por parte del personal admini,Atención y el servicio por parte del personal admini,Atención y el servicio por parte del personal admini
c243,horarios de atencion,comparable,categorica,p88_4,p94_4,p105_3,3,1.0,match,,Horarios de atención.,P 94 4 Horarios de atención.,Horarios de atención.
c244,informacion recibida sobre el padecimiento,comparable,categorica,p88_5,p94_5,p105_4,3,1.0,match,,Información recibida sobre el padecimiento.,P 94 5 Información recibida sobre el padecimiento.,Información recibida sobre el padecimiento.
c249,se ha sentido decaido a deprimido a,comparable,categorica,p91_1,p96_1,p107_1,3,1.0,match,,"Se ha sentido decaído/a, deprimido/a","P 96 1 Se ha sentido decaído/a, deprimido/a","Se ha sentido decaído/a, deprimido/a"
c250,se ha sentido nervioso a ansioso a o muy alterado a ,comparable,categorica,p91_2,p96_2,p107_2,3,1.0,match,,"Se ha sentido nervioso/a, ansioso/a o muy alterado/a","P 96 2 Se ha sentido nervioso/a, ansioso/a o muy alt","Se ha sentido nervioso/a, ansioso/a o muy alterado/a"
c251,ha tardado mas de 30 minutos en poder dormir o se de,comparable,categorica,p91_3,p96_3,p107_3,3,1.0,match,,"¿Ha tardado más de 30 minutos en poder dormir, o se ",P 96 3 ¿Ha tardado más de 30 minutos en poder dormir,"¿Ha tardado más de 30 minutos en poder dormir, o se "
c277,en la escuela a la que asiste existen dispositivos e,comparable,categorica,,cp15,cp16,2,1.0,match,,,CP 15 En la escuela a la que asiste NOMBRE DEL ESTUD,En la escuela a la que asiste NOMBRE DEL ESTUDIANTE 
c285,al dia cuantas horas destina a actividades de ocio o,comparable,numerica,,p10_1,p9_1,2,0.87,na,,,"Al día, ¿cuántas horas destina a actividades de ocio","Pensando en un día típico, ¿cuántas horas en promedi"
c286,durante el dia de ayer salio de casa nota cuando la ,comparable,categorica,,p11,p10,2,0.91,match,,,¿Durante el día de ayer salió de casa? Nota: Cuando ,"¿Durante el día de ayer salió de casa?

Nota para en"
c287,las mujeres victimas de violencia son responsables d,comparable,categorica,,p115_4,p126_4,2,0.84,match,,,P 115 4 Las mujeres víctimas de violencia son respon,Las mujeres víctimas de violencia son responsables d
c300,es un gobernante honesto,comparable,categorica,,p140_1,p146,2,1.0,match,,,P 140 1 ¿Es un gobernante honesto?,¿Es un gobernante honesto?
c306,sabe quien es la o el diputado local del distrito en,comparable,categorica,,p151_2,p154,2,1.0,match,,,P 151 2 ¿Sabe quién es la o el diputado local del di,¿Sabe quién es la o el diputado local del distrito e
c307,el congreso local es la autoridad responsable de mod,comparable,categorica,,p152_3,p155,2,1.0,relabel?,,,El Congreso Local es la autoridad responsable de mod,El Congreso Local es la autoridad responsable de mod
c308,en terminos generales considera que las y los diputa,comparable,categorica,,p153_4,p156,2,1.0,match,,,P 153 4 En términos generales ¿considera que las y l,En términos generales ¿considera que las y los diput
c309,en terminos generales aprueba o desaprueba el trabaj,comparable,categorica,,p154_5,p157,2,0.89,match,,,P 154 5 En términos generales ¿aprueba o desaprueba ,En términos generales ¿aprueba o desaprueba el traba
c311,como vamos nuevo leon,comparable,categorica,,p158_1,p162_1,2,1.0,match,,,"P 158 1 Cómo Vamos, Nuevo León.","Cómo Vamos, Nuevo León."
c312,alcalde como vamos,comparable,categorica,,p158_2,p162_2,2,1.0,match,,,"P 158 2 Alcalde, Cómo Vamos?","Alcalde, Cómo Vamos?"
c327,hay banquetas durante todo su trayecto,comparable,categorica,,p43_3,p44_3,2,1.0,match,,,P 43 3 ¿Hay banquetas durante todo su trayecto?,¿Hay banquetas durante todo su trayecto?
c328,las banquetas estan danadas roturas hoyos etc,comparable,categorica,,p43_6,p44_6,2,1.0,match,,,"P 43 6 ¿Las banquetas están dañadas? (roturas, hoyos","¿Las banquetas están dañadas? (roturas, hoyos, etc)"
c329,8 existen suficientes arboles que le brinden sombra,comparable,categorica,,p43_8,p44_8,2,0.93,match,,,8 ¿Existen suficientes árboles que le brinden sombra,¿Existen suficientes árboles que le brinden sombra?
c331,disminucion de la presion del agua,comparable,categorica,,p55,p66,2,1.0,match,,,P 55 1 Disminución de la presión del agua,Disminución de la presión del agua
c332,cortes de agua,comparable,categorica,,p56_2,p67,2,1.0,relabel?,,,P 56 2 Cortes de agua,Cortes de agua
c333,mala calidad de agua turbia sucia o mal olor,comparable,categorica,,p57_3,p68,2,1.0,relabel?,,,"P 57 3 Mala calidad de agua (turbia, sucia, o mal ol","Mala calidad de agua (turbia, sucia, o mal olor)"
c340,si respondio que no cual es la razon principal por l,solo_concepto,categorica,,p66,p79,2,0.83,code_partial,,,Si respondió que no ¿Cuál es la razón principal por ,¿Cuál es la razón principal por la que no lo hace?
c342,durante momentos de mucho calor en su casa puede man,comparable,categorica,,p69,p81,2,1.0,match,,,Durante momentos de mucho calor ¿En su casa puede ma,Durante momentos de mucho calor ¿En su casa puede ma
c343,durante momentos de mucho frio en su casa puede mant,comparable,categorica,,p70,p82,2,1.0,match,,,Durante momentos de mucho frío ¿En su casa puede man,Durante momentos de mucho frío ¿En su casa puede man
c345,flexibilidad de horario poder elegir hora de entrada,comparable,categorica,,p7_7,p5_7,2,1.0,match,,,P 7 7 Flexibilidad de horario (poder elegir hora de ,Flexibilidad de horario (poder elegir hora de entrad
c346,transporte privado de la empresa,comparable,categorica,,p7_8,p5_8,2,1.0,match,,,P 7 8 Transporte privado (de la empresa),Transporte privado (de la empresa)
c347,minutos,comparable,numerica,,p92_2,p103_2,2,1.0,na,,,P 92 2 Minutos ____,Minutos ____
c350,regularmente realiza ejercicio o practica algun depo,comparable,categorica,,p97,p108,2,1.0,match,,,P 97 ¿Regularmente realiza ejercicio o practica algú,¿Regularmente realiza ejercicio o practica algún dep
c351,al dia cuantas horas dedica al cuidado no remunerado,comparable,numerica,,p9_1,p8_1,2,0.85,na,,,"Al día, ¿cuántas horas dedica al cuidado no remunera","Pensando en un día típico, ¿cuántas horas en promedi"
